rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
646,The Aviator,2004,3.0,English,Drama/Biography,PG-13,Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, Alan Alda, Alec Baldwin, John C. Reilly",The story of Howard Hughes; a Texas tycoon who is an eccentric germaphobe who has spells of genius as well as insanity.
647,Z,1969,3.1,French,Drama/Historical,NR,Costa-Gavras,"Yves Montand, Irene Papas, Jean-Louis Trintignant, Jacques Perrin, Charles Denner, François Périer","Costa-Gavras chronicles the overthrow of the democratic government in Greece. When a liberal politician is murdered in an attack during a peace demonstration, the right wing established figures in the military and the police try and hide not only their parts in it, but try to cover up the murder as well. The magistrate must act as a detective in order to go through the cover up. While historically accurate, it is told as a combination mystery and thriller"
648,The Taking of Pelham One Two Three,1974,3.1,English,Crime/Drama,R,Joseph Sargent,"Walter Matthau, Robert Shaw, Martin Balsam, Hector Elizondo, Earl Hindman, Jerry Stiller","In New York, armed men hijack a subway car and demand a ransom for the passengers."
649,Spider-Man 2,2004,2.9,English,Action/Fantasy,PG-13,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Alfred Molina, James Franco, Rosemary Harris, J. K. Simmons",Peter Parker must make a decision between his personal life and his life as Spider Man.
650,JFK,1991,3.0,English,Historical/Mystery,R,Oliver Stone,"Kevin Costner, Kevin Bacon, Jack Lemmon, Tommy Lee Jones, Gary Oldman, Joe Pesci",Jim Garison (Costner) is the DA that is covering the JFK murder case when he deeply suspects that there is much more to the case than first thought as it consumes his personal life and professional life.
651,Straight Outta Compton,2015,3.1,English,Biography,R,F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Paul Giamatti, Neil Brown Jr., Aldis Hodge","In the mid 80s, the streets of Compton, L.A. were some of the most violent in the nation. In the late 80s, five young men who grew up on those streets provided a fresh, raw take on life in the 'hood and N.W.A. was born. Their meteoric rise and fall changed the music industry forever and ignited a cultural war."
652,3 Idiots,2009,3.1,Hindi,Comedy/Drama,PG-13,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Omi Vaidya, Madhavan, Sharman Joshi, Boman Irani","Two buddies, on a quest to track down their old college friend, manage to get caught up in 10-year-old bet, crash a wedding and then a funeral."
653,A History of Violence,2005,3.0,English,Drama/Crime,R,David Cronenberg,"Viggo Mortensen, Ed Harris, William Hurt, Maria Bello, Ashton Holmes, Peter MacNeill","Set in a small town, a calm family has it's husband deemed a hero by stopping a violent act. This brings on old thoughts and feelings from a long time ago which brings trouble to the table."
654,Lady and the Tramp,1955,3.0,English,Drama/Family,G,"Clyde Geronimi, Wilfred Jackson","Peggy Lee, Barbara Luddy, Larry Roberts, Bill Thompson, Bill Baucom, Stan Freberg","A refined, upper class spaniel and a rapscallion mutt fall in love in this classic piece of Disney animation."
655,Legends of the Fall,1994,3.0,English,Romance/Drama,R,Edward Zwick,"Brad Pitt, Aidan Quinn, Julia Ormond, Anthony Hopkins, Gordon Tootoosis, Karina Lombard","The story of three brothers living in the northern west who all have differing personalities as they fight for war, love, and nature in near seclussion."
656,Boyhood,2014,3.1,English,Drama,R,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Tamara Jolaine, Nick Krause, Jordan Howard","Richard Linklater's films, 12 years in the making, follows the life of Mason as he ages from 5 to 18."
657,Traffic,2000,3.0,English,Drama/Crime,R,Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Topher Grace, Don Cheadle, Majandra Delfino, Catherine Zeta-Jones","A pair of semi interlocking stories represent American drug trafficking and the prevention of with a young daughter using, a corrupt cop policing and a judge who has no idea really what is going on in the real world."
658,Rush,2013,3.1,English,Biography/Drama,R,Ron Howard,"Olivia Wilde, Chris Hemsworth, Daniel Brühl, Natalie Dormer, Alexandra Maria Lara, Joséphine de La Baume","The story of Formula 1 driver Niki Lauda who, throughout the 1970s, shared a rivalry with English playboy James Hunt. On and off the track, the two shared a much different approach to racing and life but nothing topped the 1976 in which Lauda was involved in crash that nearly claimed his life, but weeks later, challenged Hunt once again."
659,A Different Man,2024,3.4,English,Thriller,R,Aaron Schimberg,"Sebastian Stan, Miles G. Jackson, Adam Pearson, Renate Reinsve, Patrick Wang, Neal Davidson","Edward undergoes a radical facial reconstruction surgery, which is a resounding success but he soon becomes obsessed with an actor who takes his place in a stage play based on his old life."
660,Star Trek Into Darkness,2013,3.0,English,Sci-Fi/Adventure,PG-13,J.J. Abrams,"Chris Pine, Zachary Quinto, Benedict Cumberbatch, Zoe Saldana, Karl Urban, Peter Weller","Captain Kirk and the Enterprise are called back home after a member from their own ranks becomes an unstoppable one-man army, looking to not only unleash terror across Earth, but the entire Federation. Tracking him to a war-torn world, Kirk has a personal score to settle and has to rely on the only family he has left: his crew."
661,Klaus,2019,3.2,English,Animation/Adventure,PG,Sergio Pablos,"Rashida Jones, J.K. Simmons, Joan Cusack, Jason Schwartzman, Kendall Joy Hall, Sydney Brower",
662,Uncut Gems,2019,3.1,English,Comedy/Crime,R,"Benny Safdie, Josh Safdie","Adam Sandler, Idina Menzel, Julia Fox, LaKeith Stanfield, Eric Bogosian, Judd Hirsch","Howard Ratner is a New York City jeweler who has gotten by on high stakes and good luck. But searching for the ultimate high of the win of a lifetime, he gets in over his head on risky bets - one that will put himself, his business and his family in danger."
663,The King of Comedy,1983,3.0,English,Comedy/Drama,PG,Martin Scorsese,"Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard, Shelley Hack, Ed Herlihy","A neurotic, imbalanced would-be comic and his equally imbalanced friend go to criminal lengths to gain the attention of the host of a popular late night talk show and his audience in this pitch black comedy."
664,High Fidelity,2000,3.0,English,Biography/Romance,R,Stephen Frears,"John Cusack, Jack Black, Catherine Zeta-Jones, Tim Robbins, Joan Cusack, Iben Hjejle",A record store owner has trouble with relationships as he recalls his last 5 break ups.
665,Out of the Past,1947,3.1,English,Drama/Mystery,PG,Jacques Tourneur,"Robert Mitchum, Rhonda Fleming, Kirk Douglas, Richard Webb, Jane Greer, Virginia Huston",A gas attendant of a small town finds his history has caught up to him as a gambling booking finds him.
666,Weiner,2016,3.3,English,Documentary,R,"Josh Kriegman, Elyse Steinberg","Anthony Weiner, Jordan Zain Weiner, Sydney Leathers, Adam S. Barta, Donald Trump, Jon Stewart",
667,Assassin 33 A.D.,2020,3.2,English,Sci-Fi,PG-13,Jim Carroll,"Donny Boaz, Heidi Montag, Susan Gallagher, Anthony Crivello, Jason Castro, Johnny Rey Diaz",
668,Promising Young Woman,2020,3.2,English,Crime/Drama,R,Emerald Fennell,"Carey Mulligan, Bo Burnham, Laverne Cox, Clancy Brown, Jennifer Coolidge, Christopher Mintz-Plasse",A tragic event in her past causes a young woman to seek vengeance against the men who enter her life.
669,The Hateful Eight,2015,3.1,English,Western,R,Quentin Tarantino,"Samuel L. Jackson, Walton Goggins, Jennifer Jason Leigh, Kurt Russell, Demián Bichir, Tim Roth",A blizzards strands together a group of bounty hunters and ne'er-do-wells in a Wyoming cabin. But the small group is about to face a trail of betrayal and deception - and survival is certainly not guaranteed.
670,Elizabeth,1998,3.0,English,Biography/Drama,R,Shekhar Kapur,"Cate Blanchett, Geoffrey Rush, Christopher Eccleston, Joseph Fiennes, Richard Attenborough, Fanny Ardant","The young monarch Elizabeth I rises to power and must contend with endless attempts to set her up with a suitor, a combative Catholic church and her burgeoning romance with Lord Robert Dudley."
671,The Iron Giant,1999,3.0,English,Animation/Drama,PG,Brad Bird,"Jennifer Aniston, Harry Connick Jr., Vin Diesel, James Gammon, Cloris Leachman, Christopher McDonald","A giant alien robot falls into a small Maine town in 1958. A 9-year-old boy becomes fast friends with the machine, but soon the government arrives with the intent to destroy the machine at any cost."
672,Freaks,1932,3.0,English,Drama/Horror,NR,Tod Browning,"Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, Henry Victor, Harry Earles","A beautiful ""big"" woman marries a handsome ""little"" man.  But, when money gets in the way things start to go wrong."
673,True Grit,1969,3.0,English,Adventure/Western,G,Henry Hathaway,"John Wayne, Glen Campbell, Kim Darby, Robert Duvall, Dennis Hopper, Jeremy Slate",A grizzled and often-times drunk U.S. Marshal joins a Texas Ranger to help a stubborn young girl track down her fathers' killers in Indian territory.
674,"Best of Youth, The ( Meglio gioventù, La )",2003,3.2,Italian,Drama/Historical,R,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Adriana Asti, Sonia Bergamasco, Maya Sansa, Fabrizio Gifuni","An Italian epic that follows the lives of two brothers, from the 1960s to the 2000s."
675,The Killing of a Sacred Deer,2017,3.1,English,Drama/Horror,R,Yorgos Lanthimos,"Barry Keoghan, Nicole Kidman, Alicia Silverstone, Colin Farrell, Raffey Cassidy, Bill Camp",A brilliant surgeon and his tranquil domestic life with his wife and two children is thrown in to upheaval with the arrival of a 16-year-old boy - leading the good doctor to make a sacrifice to save himself and his family.
676,Caddyshack,1980,3.0,English,Comedy,R,Harold Ramis,"Rodney Dangerfield, Harold O'Keefe, Bill Murray, Chevy Chase, Ted Knight, Cindy Morgan","At an exclusive golf club, a new member shakes things up while a gopher & grounds keeper have their own showdown."
677,"Hidden Fortress, The ( Kakushi-toride no san-akunin )",1958,3.1,Japanese,Action/Adventure,NR,Akira Kurosawa,"Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara, Takashi Shimura, Susumu Fujita","A princess and her top general travel in secret across enemy territory with a caravan of gold in hope of rebuilding her kingdom. Two greedy peasants, unaware of their origins, accompany them in hopes of getting some of their gold."
678,Home Alone,1990,2.9,English,Family/Comedy,PG,Chris Columbus,"Macaulay Culkin, Catherine O'Hara, Joe Pesci, Daniel Stern, John Heard, John Candy",During the Holiday season a young boy from a wealthy family is forgotten at home while his family flies to France. He must defend his own home while growing up in the process.
679,Late Spring ( Banshun ),1949,3.2,Japanese,Drama,NR,Yasujirô Ozu,"Chishû Ryû, Setsuko Hara, Yumeji Tsukioka, Haruko Sugimura, Hohi Aoki, Jun Usami","A young woman cares for her father, a widower. While those around her try to convince her to get married, she is happy where she is in life and doesn't want to leave her father."
680,Fantasia,1940,3.0,English,Animation/Fantasy,G,James Algar,"Leopold Stokowski, Walt Disney, Julietta Novis",An animation in which the story is told by the music of great classical compositions.
681,Poltergeist,1982,3.0,English,Horror/Thriller,PG,Tobe Hooper,"Craig T. Nelson, JoBeth Williams, Heather O'Rourke, Richard Lawson, James Karen, Beatrice Straight","A typical suburban family is first amused, then terrorized as ghosts and other paranormal phenomena take over their home."
682,"Red Turtle, The ( tortue rouge, La )",2016,3.3,,Animation/Fantasy,PG,Michael Dudok de Wit,,The life of a castaway is told in major life stages in this dialogue-free animated film.
